date,adj_close,close,high,low,open,volume
2022-01-26,11.75,11.75,12.75,10.5,12.5,5772
2022-01-27,11.75,11.75,12.25,10.75,11.75,5902
2022-01-28,11.75,11.75,12.0,11.25,12.0,4442
2022-01-31,12.25,12.25,13.25,11.25,11.5,3253
2022-02-01,11.75,11.75,13.25,11.5,12.75,6298
2022-02-02,10.25,10.25,12.25,10.0,12.0,27152
2022-02-03,9.0,9.0,10.25,8.75,10.25,8990
2022-02-04,9.25,9.25,10.0,8.75,10.0,6698
2022-02-07,9.0,9.0,10.0,9.0,9.25,4326
2022-02-08,8.25,8.25,9.75,7.5,9.5,8522
2022-02-09,7.75,7.75,8.5,7.5,8.5,11870
2022-02-10,8.0,8.0,8.5,7.5,7.5,2906
2022-02-11,8.0,8.0,8.5,8.0,8.0,6615
2022-02-14,8.5,8.5,8.75,8.0,8.25,5668
2022-02-15,8.25,8.25,8.5,8.0,8.0,1321
2022-02-16,10.5,10.5,11.0,8.0,8.25,11871
2022-02-17,9.75,9.75,12.5,8.75,10.5,5186
2022-02-18,9.5,9.5,9.75,8.75,9.75,2441
2022-02-22,9.25,9.25,9.75,8.5,9.25,3028
2022-02-23,9.0,9.0,9.25,8.5,9.25,1224
2022-02-24,8.75,8.75,9.25,8.0,9.25,2320
2022-02-25,9.0,9.0,10.0,8.25,8.75,2978
2022-02-28,9.75,9.75,10.0,8.25,8.5,2462
2022-03-01,9.75,9.75,10.25,9.25,9.25,4798
2022-03-02,9.75,9.75,11.0,9.5,9.75,3690
2022-03-03,9.75,9.75,10.5,9.5,9.75,2278
2022-03-04,9.5,9.5,10.0,8.75,10.0,3502
2022-03-07,9.5,9.5,10.0,8.0,9.0,2330
2022-03-08,9.5,9.5,10.5,9.0,9.5,4967
2022-03-09,9.75,9.75,10.25,9.0,9.75,1733
2022-03-10,9.25,9.25,10.0,9.0,9.0,4831
2022-03-11,9.75,9.75,10.0,9.0,9.75,4017
2022-03-14,9.5,9.5,9.75,8.25,9.5,2720
2022-03-15,9.0,9.0,9.75,7.5,7.5,2650
2022-03-16,9.0,9.0,10.0,8.25,9.25,2458
2022-03-17,9.25,9.25,9.75,9.0,9.0,2499
2022-03-18,9.25,9.25,10.5,8.5,9.25,7994
2022-03-21,9.0,9.0,10.0,8.0,10.0,5942
2022-03-22,9.5,9.5,10.0,8.5,10.0,3885
2022-03-23,9.25,9.25,9.75,8.75,9.5,1513
2022-03-24,9.25,9.25,9.75,9.0,9.0,3272
2022-03-25,9.75,9.75,10.25,9.0,10.0,11961
2022-03-28,9.75,9.75,10.25,9.5,9.75,5412
2022-03-29,9.75,9.75,10.0,8.75,9.25,5781
2022-03-30,9.25,9.25,10.0,9.25,9.25,6892
2022-03-31,9.5,9.5,9.75,9.25,9.75,2418
2022-04-01,9.25,9.25,9.5,9.0,9.5,2046
